epoch	batch	iter	loss	acc	lr
1	1	1	2.0034708976745605	26.0	1e-05
1	2	2	2.4606542587280273	16.0	1e-05
1	3	3	1.9143707752227783	10.0	1e-05
2	1	4	2.367025375366211	16.0	1e-05
2	2	5	2.2919881343841553	22.0	1e-05
2	3	6	1.8320486545562744	20.0	1e-05
3	1	7	2.0050575733184814	18.0	1e-05
3	2	8	2.147096633911133	16.0	1e-05
3	3	9	2.0144827365875244	35.0	1e-05
4	1	10	1.838809609413147	26.0	1e-05
4	2	11	1.9021430015563965	22.0	1e-05
4	3	12	2.0020320415496826	20.0	1e-05
5	1	13	1.9292854070663452	24.0	1e-05
5	2	14	1.8640824556350708	22.0	1e-05
5	3	15	1.757874846458435	25.0	1e-05
6	1	16	1.7867084741592407	20.0	1e-05
6	2	17	1.7175146341323853	24.0	1e-05
6	3	18	2.2161412239074707	10.0	1e-05
7	1	19	2.5628652572631836	24.0	1e-05
7	2	20	2.271941661834717	14.0	1e-05
7	3	21	1.694077730178833	25.0	1e-05
8	1	22	1.8081947565078735	28.0	1e-05
8	2	23	2.1167619228363037	22.0	1e-05
8	3	24	1.9864145517349243	25.0	1e-05
9	1	25	1.6456711292266846	30.0	1e-05
9	2	26	1.5752044916152954	36.0	1e-05
9	3	27	2.401350259780884	30.0	1e-05
10	1	28	1.934903621673584	26.0	1e-05
10	2	29	2.0538697242736816	30.0	1e-05
10	3	30	1.781878113746643	35.0	1e-05
11	1	31	1.830631136894226	28.0	1e-05
11	2	32	2.2330408096313477	8.0	1e-05
11	3	33	1.6484649181365967	40.0	1e-05
12	1	34	1.7523655891418457	26.0	1e-05
12	2	35	1.8819714784622192	22.0	1e-05
12	3	36	1.664862871170044	35.0	1e-05
13	1	37	1.8935908079147339	22.0	1e-05
13	2	38	1.705133080482483	28.0	1e-05
13	3	39	1.702695608139038	30.0	1e-05
14	1	40	1.814719796180725	28.0	1e-05
14	2	41	1.759525179862976	26.0	1e-05
14	3	42	1.785517692565918	35.0	1e-05
15	1	43	1.5819618701934814	30.0	1e-05
15	2	44	1.7132537364959717	32.0	1e-05
15	3	45	1.8051040172576904	30.0	1e-05
16	1	46	1.4418764114379883	30.0	1e-05
16	2	47	1.713384985923767	28.0	1e-05
16	3	48	1.7478389739990234	30.0	1e-05
17	1	49	1.586268663406372	28.0	1e-05
17	2	50	1.319047212600708	38.0	1e-05
17	3	51	1.9026868343353271	30.0	1e-05
18	1	52	1.6283276081085205	32.0	1e-05
18	2	53	1.6203477382659912	36.0	1e-05
18	3	54	1.692199945449829	15.0	1e-05
