epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.002255584525551524	0.19588655066461325	0.0020472260657697916	-4.9999098777771	-3.304438723716885e-05	-4.999908924102783
2	0.0027402959007568617	0.21192314109258914	0.0020291460677981377	-4.999819755554199	-3.354331784066744e-05	-4.999817848205566
3	0.009948282956937754	0.21873834676429738	0.0020301220938563347	-4.999729633331299	-3.455877595115453e-05	-4.999728202819824
4	0.004087131469592747	0.22710891488271878	0.0020353251602500677	-4.999639511108398	-3.5687771742232144e-05	-4.999637126922607
5	0.016329281741033125	0.22761039055422824	0.0020664783660322428	-4.999549388885498	-3.651962470030412e-05	-4.999545574188232
6	0.015546550319296581	0.232658362924419	0.002084901789203286	-4.999459266662598	-3.7025183701189235e-05	-4.999462127685547
7	0.03373205782692906	0.20321668096549036	0.0021010665223002434	-4.999369144439697	-3.727678267750889e-05	-4.99937105178833
8	0.040290006344020246	0.2061919111028773	0.0021107823122292757	-4.999279022216797	-3.795553857344203e-05	-4.999281406402588
9	0.04002910310359531	0.20713254170615056	0.00212280685082078	-4.9991888999938965	-3.7633657484548166e-05	-4.999189853668213
10	0.025858308741797564	0.2134381119678376	0.002116661285981536	-4.999098777770996	-3.760673280339688e-05	-4.999098777770996
11	0.04153791953103819	0.20114961355368677	0.002105905208736658	-4.999008655548096	-3.814079536823556e-05	-4.999009132385254
12	0.03713626438525108	0.20058373758541004	0.002109500812366605	-4.998918533325195	-3.9006510633043945e-05	-4.998917579650879
13	0.03419821446519977	0.21238733913538121	0.0021204242948442698	-4.998828411102295	-3.852774898405187e-05	-4.99882698059082
14	0.032185375624236345	0.21748931962856913	0.002130246954038739	-4.9987382888793945	-3.815288800979033e-05	-4.99873685836792
15	0.017493594701128684	0.23238041030454615	0.0021283882670104504	-4.998648166656494	-3.8250153011176735e-05	-4.998645782470703
16	0.012739361276306843	0.23725008112811907	0.002119052456691861	-4.998558044433594	-3.835586903733201e-05	-4.998561859130859
17	0.02455426173644437	0.2133449199097357	0.0021103050094097853	-4.998467922210693	-3.822501457761973e-05	-4.998470783233643
18	0.028665139792331984	0.20548748124471103	0.0021020318381488323	-4.998377799987793	-3.785766239161603e-05	-4.998379707336426
19	0.028861750471014025	0.21855867518157815	0.002111977431923151	-4.998287677764893	-3.842568912659772e-05	-4.998290061950684
20	0.028799241488877525	0.21095328222421675	0.0021118063014000654	-4.998197555541992	-3.869491774821654e-05	-4.998198986053467
21	0.030945640285972464	0.21560622942845598	0.0021306341513991356	-4.998107433319092	-3.863705205731094e-05	-4.998107433319092
22	0.013453632611372057	0.2341244673658817	0.002138982992619276	-4.998017311096191	-3.8383786886697635e-05	-4.998016834259033
23	0.031170668267415547	0.21396135013909015	0.002178431721404195	-4.997927188873291	-3.853421367239207e-05	-4.997925758361816
24	0.03888612861877394	0.19942230876222503	0.002194593893364072	-4.997837066650391	-3.776833909796551e-05	-4.997834205627441
25	0.022515543846602926	0.22377694824536518	0.002206763718277216	-4.99774694442749	-3.76652751583606e-05	-4.997744560241699
26	0.030318546597926765	0.20189624757998917	0.0022126510739326477	-4.99765682220459	-3.719608866958879e-05	-4.997653484344482
27	0.037729593416778895	0.1958873001969311	0.002234384184703231	-4.9975666999816895	-3.76278767362237e-05	-4.997570037841797
28	0.03887267072311751	0.19253336987396832	0.0022726517636328936	-4.997476577758789	-3.769123577512801e-05	-4.997478485107422
29	0.03590744033428761	0.18740376245549895	0.002313844161108136	-4.997386455535889	-3.681505404529162e-05	-4.997387409210205
30	0.0329534294316538	0.18874792921653816	0.0023380222264677286	-4.997296333312988	-3.715039565577172e-05	-4.997297763824463
31	0.040492131484506366	0.199329307299874	0.002341410843655467	-4.997206211090088	-3.7627465644618496e-05	-4.997206687927246
32	0.043847828506312636	0.16712242301372435	0.002340017119422555	-4.9971160888671875	-3.785382068599574e-05	-4.997116565704346
33	0.03716283881545607	0.2043978491486708	0.0023593923542648554	-4.997025966644287	-3.8048670830903575e-05	-4.997025489807129
34	0.01899826670703114	0.2126599356053911	0.002380822552368045	-4.996935844421387	-3.883741010213271e-05	-4.99693489074707
35	0.04278727132857296	0.19204342491880952	0.002409223234280944	-4.996845722198486	-3.883019235217944e-05	-4.99684476852417
