epoch	batch	iter	loss	acc	lr
1	1	1	18051190.0	0.125	0.0001
1	2	2	9027375.0	0.0	0.0001
1	3	3	4512855.5	0.0	0.0001
1	4	4	2255687.25	0.25	0.0001
1	5	5	1128117.0	0.0	0.0001
1	6	6	563891.5625	0.0	0.0001
1	7	7	281934.5625	0.25	0.0001
1	8	8	140985.25	0.0	0.0001
1	9	9	70500.125	0.0	0.0001
1	10	10	35255.640625	0.125	0.0001
1	11	11	17632.51953125	0.0	0.0001
1	12	12	8827.0634765625	0.0	0.0001
1	13	13	4423.14794921875	0.125	0.0001
1	14	14	2218.295166015625	0.25	0.0001
1	15	15	1119.2833251953125	0.125	0.0001
1	16	16	564.82958984375	0.0	0.0001
1	17	17	293.6389465332031	0.0	0.0001
1	18	18	159.8760986328125	0.0	0.0001
1	19	19	94.60880279541016	0.0	0.0001
1	20	20	49.27803039550781	0.25	0.0001
1	21	21	39.002464294433594	0.0	0.0001
1	22	22	23.682390213012695	0.125	0.0001
1	23	23	23.41468048095703	0.0	0.0001
1	24	24	16.68722152709961	0.125	0.0001
1	25	25	20.41943359375	0.0	0.0001
1	26	26	23.794784545898438	0.0	0.0001
1	27	27	10.54212760925293	0.25	0.0001
1	28	28	16.714311599731445	0.0	0.0001
1	29	29	16.857711791992188	0.0	0.0001
1	30	30	12.684536933898926	0.0	0.0001
1	31	31	17.458528518676758	0.125	0.0001
1	32	32	14.165657043457031	0.125	0.0001
1	33	33	16.92605972290039	0.0	0.0001
1	34	34	14.717458724975586	0.125	0.0001
1	35	35	22.305212020874023	0.0	0.0001
1	36	36	16.66802978515625	0.0	0.0001
1	37	37	11.243020057678223	0.125	0.0001
1	38	38	15.989442825317383	0.0	0.0001
1	39	39	11.952903747558594	0.0	0.0001
1	40	40	19.467531204223633	0.0	0.0001
1	41	41	19.448843002319336	0.0	0.0001
1	42	42	16.429658889770508	0.0	0.0001
1	43	43	16.63471794128418	0.125	0.0001
1	44	44	13.177438735961914	0.0	0.0001
1	45	45	19.698396682739258	0.0	0.0001
1	46	46	15.982247352600098	0.125	0.0001
1	47	47	8.32889461517334	0.125	0.0001
1	48	48	16.945972442626953	0.125	0.0001
1	49	49	13.355374336242676	0.0	0.0001
1	50	50	20.920207977294922	0.0	0.0001
1	51	51	12.1712064743042	0.0	0.0001
1	52	52	15.624612808227539	0.0	0.0001
1	53	53	12.796663284301758	0.125	0.0001
1	54	54	18.73316192626953	0.0	0.0001
1	55	55	13.148967742919922	0.125	0.0001
1	56	56	13.854452133178711	0.0	0.0001
1	57	57	19.22784423828125	0.0	0.0001
1	58	58	16.44308090209961	0.0	0.0001
1	59	59	17.886573791503906	0.0	0.0001
1	60	60	16.524921417236328	0.0	0.0001
1	61	61	9.970499992370605	0.125	0.0001
1	62	62	16.31496810913086	0.0	0.0001
1	63	63	17.93210792541504	0.0	0.0001
1	64	64	17.198326110839844	0.0	0.0001
1	65	65	17.605152130126953	0.0	0.0001
1	66	66	15.46105670928955	0.0	0.0001
1	67	67	13.665070533752441	0.125	0.0001
1	68	68	11.288286209106445	0.125	0.0001
1	69	69	13.80056095123291	0.125	0.0001
1	70	70	12.164335250854492	0.125	0.0001
1	71	71	19.246191024780273	0.125	0.0001
1	72	72	14.669215202331543	0.0	0.0001
1	73	73	13.01675796508789	0.0	0.0001
1	74	74	14.454948425292969	0.0	0.0001
1	75	75	14.440043449401855	0.125	0.0001
1	76	76	12.223665237426758	0.125	0.0001
1	77	77	11.005025863647461	0.125	0.0001
1	78	78	9.4287691116333	0.125	0.0001
1	79	79	12.85983943939209	0.0	0.0001
1	80	80	16.865806579589844	0.0	0.0001
1	81	81	12.923606872558594	0.0	0.0001
1	82	82	13.351542472839355	0.0	0.0001
1	83	83	14.147504806518555	0.0	0.0001
2	1	84	18025788.0	0.125	0.0001
2	2	85	9010682.0	0.125	0.0001
2	3	86	4505921.5	0.125	0.0001
2	4	87	2252664.25	0.0	0.0001
2	5	88	1125989.375	0.125	0.0001
2	6	89	563122.8125	0.125	0.0001
2	7	90	281572.59375	0.125	0.0001
2	8	91	140771.609375	0.0	0.0001
2	9	92	70399.953125	0.25	0.0001
2	10	93	35207.7421875	0.0	0.0001
2	11	94	17604.501953125	0.125	0.0001
2	12	95	8809.7470703125	0.125	0.0001
2	13	96	4413.2724609375	0.0	0.0001
2	14	97	2211.203857421875	0.25	0.0001
2	15	98	1114.9505615234375	0.0	0.0001
2	16	99	560.8591918945312	0.0	0.0001
2	17	100	291.5013732910156	0.0	0.0001
2	18	101	149.0646514892578	0.0	0.0001
2	19	102	78.52075958251953	0.25	0.0001
2	20	103	50.21824264526367	0.125	0.0001
2	21	104	29.3848876953125	0.125	0.0001
2	22	105	20.858158111572266	0.125	0.0001
2	23	106	15.047195434570312	0.25	0.0001
2	24	107	16.40355682373047	0.0	0.0001
2	25	108	16.94676399230957	0.0	0.0001
2	26	109	10.604714393615723	0.0	0.0001
2	27	110	11.135659217834473	0.125	0.0001
2	28	111	15.82834529876709	0.0	0.0001
2	29	112	13.031182289123535	0.0	0.0001
2	30	113	17.433042526245117	0.0	0.0001
2	31	114	18.142948150634766	0.0	0.0001
2	32	115	17.61684799194336	0.125	0.0001
2	33	116	14.740499496459961	0.0	0.0001
2	34	117	14.481292724609375	0.0	0.0001
2	35	118	13.115315437316895	0.0	0.0001
2	36	119	13.034865379333496	0.0	0.0001
2	37	120	12.829922676086426	0.125	0.0001
2	38	121	13.624295234680176	0.125	0.0001
2	39	122	15.092194557189941	0.0	0.0001
2	40	123	12.396039962768555	0.125	0.0001
2	41	124	7.075844764709473	0.125	0.0001
2	42	125	8.24968433380127	0.25	0.0001
2	43	126	9.440400123596191	0.0	0.0001
2	44	127	10.87624740600586	0.125	0.0001
2	45	128	14.180777549743652	0.0	0.0001
2	46	129	9.628808975219727	0.125	0.0001
2	47	130	12.09206771850586	0.0	0.0001
2	48	131	14.264558792114258	0.0	0.0001
2	49	132	13.211437225341797	0.0	0.0001
2	50	133	13.775960922241211	0.125	0.0001
2	51	134	12.219572067260742	0.125	0.0001
2	52	135	12.600668907165527	0.125	0.0001
2	53	136	10.924894332885742	0.0	0.0001
2	54	137	12.294229507446289	0.0	0.0001
2	55	138	7.417585849761963	0.25	0.0001
2	56	139	9.299051284790039	0.0	0.0001
2	57	140	8.102272987365723	0.0	0.0001
2	58	141	14.716495513916016	0.125	0.0001
2	59	142	12.958580017089844	0.125	0.0001
2	60	143	12.748403549194336	0.0	0.0001
2	61	144	11.499022483825684	0.125	0.0001
2	62	145	11.851897239685059	0.0	0.0001
2	63	146	8.376282691955566	0.0	0.0001
2	64	147	17.060810089111328	0.0	0.0001
2	65	148	12.308710098266602	0.0	0.0001
2	66	149	12.052006721496582	0.0	0.0001
2	67	150	11.198431015014648	0.125	0.0001
2	68	151	11.776737213134766	0.125	0.0001
2	69	152	11.45260238647461	0.125	0.0001
2	70	153	9.568381309509277	0.125	0.0001
2	71	154	13.688912391662598	0.0	0.0001
2	72	155	11.124733924865723	0.125	0.0001
2	73	156	12.488377571105957	0.0	0.0001
2	74	157	12.641549110412598	0.0	0.0001
2	75	158	11.545636177062988	0.125	0.0001
2	76	159	11.067634582519531	0.125	0.0001
